Location,Burrito,Neighborhood,Chips,Cost,Hunger,Mass (g),Density (g/mL),Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Unreliable,Beef,Pico,Guac,Cheese,Fries,Sour cream,Pork,Chicken,Shrimp,Fish,Rice,Beans,Lettuce,Tomato,Bell peper,Carrots,Cabbage,Sauce,Salsa,Cilantro,Onion,Taquito,Pineapple,Ham,Chile relleno,Nopales,Lobster,Queso,Egg,Mushroom,Bacon,Sushi,Avocado,Corn,Zucchini
El Pueblo Mexican Food,California,Cardiff ,,4.99,4,,,4.5,4.5,3.5,4,4.5,5,2.5,4.5,5,4.3,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Rey Moro,California Surf,Clairemont,,9.19,2.8,,,3.5,4.5,4,3.5,5,4.5,3,3.5,5,4,,X,,X,X,X,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,
El Torrito Foods,Adobada,Vista,,3.99,4.5,,,3.5,4,3,2.5,2.8,4,2.5,2.5,5,2.6,,,,,,,,X,,,,X,X,,,,,,,,X,X,,,,,,,,,,,,,,
El Torrito Foods,Asada,Vista,,5.49,4,,,3,5,3,3,2.5,4,3.5,3,5,3.1,,X,,,,,,,,,,X,X,,,,,,,,X,X,,,,,,,,,,,,,,
El Zarape,Lobster,University Heights,,9.5,3,,,3,3,4,3,3.5,4.5,3.5,3,3.5,3.2,,,,,,,,,,,,,,,x,,,x,x,,,,,,,,,x,,,,,,,,
El Zarape,Azteca,University Heights,,6.25,3.75,,,3,5,5,4.5,4,4,1.5,3,5,3,,x,x,,x,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,
El Zarape,California chicken,University Heights,,6.25,3,,,3.5,5,2.5,2.5,4,2.7,3.5,3,5,2.5,,,x,x,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Zarape,California,University Heights,,6.25,4,,,2.5,4,3.75,4,3.75,5,4,4,5,3.9,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Zarape,California,University Heights,,6.25,4,,,3,,4,4,4,4,2,3,5,4,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Zarape,California,University Heights,,6.25,3,,,4,4,2,2,4,3,3,3,5,3,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Zarape,California,University Heights,x,6.25,0.5,,,3,5,4,2.75,4,1.6,3.5,3.4,5,3.33333,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Zarape,Supreme chicken,UTC,,7.5,4,,,4,4,3.5,4.2,4.5,4.3,3,4,4.5,3.8,,,,x,x,,,,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,
Famoso Mexican Street Food,Cali Diablo,Downtown,,10.5,3,,,2,2.5,3.3,3.5,1.5,4,2.5,2.5,3,3.1,,X,X,X,X,X,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,
Filiberto's,Adobada,Encinitas,,6.25,4.4,,,4.2,4.5,4,3,5,3.8,2.5,3,5,3.7,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goody's,Custom,La Jolla,,7.25,3.5,,,1.5,1,2,2,2,2,2,2,1,1.8,,x,x,x,x,,,,,,,x,x,,,,,,,x,,,,,,,,,,,,,,,,
Graciela's Taco Shop,Adobada ,Bonita,,5.99,3,,,4,4,3,3.5,4,4.5,4,4,4.5,4,,,,,,,,x,,,,,x,,,,,,,x,x,x,,,,,,,,,,,,,,
Graciela's Taco Shop,Barbacoa,Bonita,,5.99,2,,,3.5,4,3.5,,4,,4,4,1.5,4,,x,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,
Jorge's Mexicatessen,Chimichanga beef,Encinitas,,5.5,3,,,2,4,3,3,3,4,3.5,3.5,,3,,X,X,X,X,,X,,,,,X,X,,,,,,X,,,,,,,,,,,,,,,,,
Jorge's Mexicatessen,California ,Encinitas,,5.95,3.5,,,2.5,2.5,3.5,4,3,4.5,4,4.5,4.5,3.8,,X,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jose's Taco,California,Oceanside,,6.1,4,,,3.5,3.5,2,3.5,4.5,3.5,3,3.5,4,3.3,,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juanita's Taco Shop,California ,Encinitas,,5.55,3.5,,,4,4.5,3,3,5,3,4,3,5,3.5,,X,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juanita's Taco Shop,Arizona,Encinitas,,5.55,2.5,,,4.5,4,3.5,4,3.5,4,3,4,5,3.9,,X,X,X,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JV's Mexican Food,Surf & Turf,Morena,,9.5,2,,,2.5,2.5,2.75,2.5,2.5,2,0.5,3,3.5,2.5,,x,,x,,,,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,
JV's Mexican Food,Carne Asada,Morena,,6.25,3.5,,,2.5,1.5,1.5,3,4.5,3,1.5,2,4.5,2,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karina's Taco Shop ,Bomb,Encinitas,,7.99,3,,,4,4,4,3.5,2.5,3.5,4,3.5,2.5,3.7,,X,,X,X,X,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,
Karina's Taco Shop ,California ,Encinitas,,6.99,2.5,,,3.5,4,3.5,3.5,3,1,4,4,4.5,3.8,,X,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King Burrito,Adobada,Oceanside,,4.99,3.5,,,3,3,3,3,2.5,2,2.5,3,4,2.8,,,X,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King Burrito,California,Oceanside,,5.29,3.5,,,2.5,4.5,2,3,2.5,1.5,3,2,4.5,2.5,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Morena Taco Shop and Seafood,California,Webster,,6.35,4,,,4,2.5,4,3,4.5,2,2,3,4,3,,x,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Perla Cocina,Addiction,Pacific Beach,,7.99,3.5,,,4,4,2,3,1.5,3,2.5,1,3,2.5,,x,x,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,
La Perla Cocina,Oaxacalifornia,Pacific Beach,,9.99,3,,,4,4.5,3.5,4,3,2,2.5,3.5,4,4,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalo's Tacos,California,Hillcrest,,7.75,3,,,3.75,5,3,3.5,5,5,2,3,2.8,2.8,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lola's 7 Up Market & Deli,Carne asada,Carlsbad,,7,3.5,,,2.5,3,3,4,2,2,3,3.5,3.5,3,,x,x,x,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
Lola's 7 Up Market & Deli,Shredded beef,Carlsbad,,6,3.5,,,2.5,2.5,3,4,4,4,3,3.5,1.5,3.8,,x,x,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
Lolita's taco shop,2 in 1,Kearny Mesa,,8.75,3.5,,,1.5,2,3,3.5,4,1,3.5,4.5,4,4,,x,,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
Lolita's taco shop,2 in 1,Kearny Mesa,,8.75,3,,,3,4,2.7,4.7,3,2.4,2,3.7,4.5,3.7,,x,,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
Lolita's taco shop,2 in 1,Kearny Mesa,,8.75,4,,,4.5,3.8,3.8,4.5,3.4,1.5,3,3.8,4,3.8,,x,,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
Lolita's Taco shop,Shrimp,Kearny Mesa,,8.95,3.5,,,3,3,4,4,3.5,3.5,2.5,4,0.5,3,,,X,,,,,,,X,,,,X,,,,,X,,,,,,,,,,,,,,,,,
Lolita's Taco Shop,Mixed,Kearny Mesa,,8.25,4,,,4,3,4,4,4,5,3,4,5,3.5,,x,,x,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
